,Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
1,139441,Status,2,12,3,10,0.0,10460,19057.0,1457.0,1361.0,1674,11710.0,6112,1108,5,130.0,29.0,164.0
2,139441,Photo,3,12,3,3,0.0,2413,4373.0,177.0,113.0,154,2812.0,1503,132,0,66.0,14.0,80.0
3,139441,Photo,2,12,2,10,1.0,50128,87991.0,2211.0,790.0,1119,61027.0,32048,1386,58,1572.0,147.0,1777.0
4,139441,Photo,2,12,2,3,0.0,7244,13594.0,671.0,410.0,580,6228.0,3200,396,19,325.0,49.0,393.0
5,139441,Status,2,12,1,9,0.0,10472,20849.0,1191.0,1073.0,1389,16034.0,7852,1016,1,152.0,33.0,186.0
6,139441,Photo,3,12,1,3,1.0,11692,19479.0,481.0,265.0,364,15432.0,9328,379,3,249.0,27.0,279.0
7,139441,Photo,3,12,7,9,1.0,13720,24137.0,537.0,232.0,305,19728.0,11056,422,0,325.0,14.0,339.0
8,139441,Status,2,12,7,3,0.0,11844,22538.0,1530.0,1407.0,1692,15220.0,7912,1250,0,161.0,31.0,192.0
9,139441,Photo,3,12,6,10,0.0,4694,8668.0,280.0,183.0,250,4309.0,2324,199,3,113.0,26.0,142.0
10,139441,Status,2,12,5,10,0.0,21744,42334.0,4258.0,4100.0,4540,37849.0,18952,3798,0,233.0,19.0,252.0
11,139441,Photo,2,12,5,10,0.0,3112,5590.0,208.0,127.0,145,3887.0,2174,165,0,88.0,18.0,106.0
12,139441,Photo,2,12,5,10,0.0,2847,5133.0,193.0,115.0,133,3779.0,2072,152,0,90.0,14.0,104.0
13,139441,Photo,2,12,5,3,0.0,2549,4896.0,249.0,134.0,168,3631.0,1917,183,5,137.0,10.0,152.0
14,138414,Photo,2,12,4,5,1.0,22784,39941.0,887.0,337.0,417,34415.0,19312,684,2,577.0,20.0,599.0
15,138414,Status,2,12,3,10,0.0,10060,19680.0,1264.0,1209.0,1425,17272.0,8548,1162,4,86.0,18.0,108.0
16,138414,Photo,3,12,3,3,0.0,1722,2981.0,163.0,123.0,148,1868.0,1050,123,2,40.0,12.0,54.0
17,138414,Photo,1,12,2,12,1.0,53264,111785.0,1706.0,1103.0,1655,92512.0,39776,1307,15,678.0,20.0,713.0
